APP_id,Rank,Title,Catogory,Total Rating,Installs,Average Rating,Growth(30 days),Growth(60 days),Price,URL
app00125,125,How to Draw Flowers,Art & Design,"9,398",1.0 M,4.47,0.90%,2.00%,Free,/application/how_to_draw_flowers/com.sweefitstudios.drawflowers
app00126,126,Designer Pro - Write On Picture,Art & Design,"9,245",1.0 M,4.2,2.30%,5.80%,Free,/application/designer_pro_write_on_picture/com.abdelmonem.writeonimage
app00127,127,Fashion Design Flat Sketch,Art & Design,"9,240",1.0 M,3.11,1.90%,4.40%,Free,/application/fashion_design_flat_sketch/com.laura.fashiondesign
app00128,128,"How to draw cute food, drinks step by step",Art & Design,"8,954",1.0 M,4.53,13.90%,40.60%,Free,/application/how_to_draw_cute_food_drinks_step_by_step/how.draw.cutefood
app00129,129,Warmlight Beautiful Theme: A stylish android theme,Art & Design,"8,947",1.0 M,4.67,0.00%,0.10%,Free,/application/warmlight_beautiful_theme_a_stylish_android_theme/com.cyou.cma.clauncher.theme.v53f6dba58633729630d918ef
app00130,130,Unicorn Panda - Color By Number,Art & Design,"8,840",1.0 M,4.5,2.90%,5.50%,Free,/application/unicorn_panda_color_by_number/com.colorbynumber.unicorn.pixel.art.panda.draw.paintbynumber
app00131,131,Glass theme & glass icon pack + amoled wallpapers,Art & Design,"8,803",1.0 M,4.09,0.00%,0.00%,Free,/application/glass_theme_glass_icon_pack_amoled_wallpapers/com.gaaan.glass
app00132,132,Logo Maker - Logo Creator & Poster Maker,Art & Design,"8,563",1.0 M,4.11,1.80%,4.00%,Free,/application/logo_maker_logo_creator_poster_maker/com.aiTeam.logoMakers
app00133,133,Beauty Selfie Camera,Art & Design,"8,496",1.0 M,3.7,0.00%,0.00%,Free,/application/beauty_selfie_camera/com.nexogen.beautyplus.camera
app00134,134,Tattoo for boys Images,Art & Design,"8,451",1.0 M,3.83,0.10%,0.20%,Free,/application/tattoo_for_boys_images/com.pixel.tattoo.for.boys.images
app00135,135,FLYING LOGO BUILDER - 3d Intro Movie Maker,Art & Design,"8,393",1.0 M,3.27,0.90%,2.10%,Free,/application/flying_logo_builder_3d_intro_movie_maker/com.burabura.FlyingLogo
app00136,136,How to Draw Desserts,Art & Design,"8,380",1.0 M,4.41,0.10%,0.30%,Free,/application/how_to_draw_desserts/com.sweefitstudios.drawdesserts
app00137,137,Theme for Galaxy S Duos HD launcher,Art & Design,"8,327",1.0 M,4.49,1.00%,2.00%,Free,/application/theme_for_galaxy_s_duos_hd_launcher/samsung.galaxy.s.duos.j7.s8.plus.galaxynote.j2.j2ace.nokia6.oppof3.a37.vivov5.theme.launcher
app00138,138,Junimong - How to Draw,Art & Design,"8,232",1.0 M,4.13,0.00%,0.00%,Free,/application/junimong_how_to_draw/com.Junimong.Junimong
app00139,139,Mobile Projector Photo Frames,Art & Design,"8,154",1.0 M,3.16,0.50%,1.20%,Free,/application/mobile_projector_photo_frames/com.tricore.face.projector
app00140,140,"Name Art Photo Editor - Focus,Filters",Art & Design,"8,148",5.0 M,4.27,1.40%,3.10%,Free,/application/name_art_photo_editor_focus_filters/com.tricore.name.photo.editor
app00141,141,Name Art - Name On Pic & Focus n Filters,Art & Design,"7,940",500.0 k,4.54,0.20%,0.50%,Free,/application/name_art_name_on_pic_focus_n_filters/focusandfilter.pk.earthtechno.com.focusfilter
app00142,142,"Name Art: Grid, GIF &  Collage Maker, Photo Editor",Art & Design,"7,922",1.0 M,3.76,0.80%,1.30%,Free,/application/name_art_grid_gif_collage_maker_photo_editor/com.formationapps.nameart
app00143,143,Soft Touch Blue Theme,Art & Design,"7,778",1.0 M,4.32,0.10%,0.10%,Free,/application/soft_touch_blue_theme/com.gtp.nextlauncher.theme.softtouchneonbygaaanfree
app00144,144,How to make notebook,Art & Design,"7,756",1.0 M,4.33,10.70%,32.70%,Free,/application/how_to_make_notebook/truefunapps.notebook
app00145,145,"Logo Maker - Logo Creator, Generator & Designer",Art & Design,"7,686",1.0 M,4.75,28.70%,74.50%,Free,/application/logo_maker_logo_creator_generator_designer/com.artech.logomakerfreepro
